PROCEDIMENTO,RN,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatória,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
TRATAMENTO DE CÂNCER DE OVÁRIO (DEBULKING),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,CAVIDADE E PAREDES PÉLVICAS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DE CÂNCER DE OVÁRIO (DEBULKING) VIA LAPAROSCÓPICA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,CAVIDADE E PAREDES PÉLVICAS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMNIORREDUÇÃO OU AMNIOINFUSÃO,NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ASPIRAÇÃO MANUAL INTRA-UTERINA (AMIU) PÓS-ABORTAMENTO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ASSISTÊNCIA AO TRABALHO DE PARTO,NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CERCLAGEM DO COLO UTERINO,NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CURETAGEM PÓS-ABORTAMENTO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EMBRIOTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
GRAVIDEZ ECTÓPICA - CIRURGIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
GRAVIDEZ  ECTÓPICA - CIRURGIA POR VIDEOLAPAROSCOPIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MATURAÇÃO CERVICAL PARA INDUÇÃO DE ABORTAMENTO OU TRABALHO DE PARTO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INVERSÃO UTERINA - REDUÇÃO MANUAL OU TRATAMENTO CIRURGICO,NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARTO POR VIA VAGINAL,NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARTO CESARIANO (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,145,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"REVISÃO OBSTÉTRICA DE PARTO OCORRIDO FORA DO HOSPITAL (INCLUI EXAME, DEQUITAÇÃO E SUTURA DELACERAÇÕES ATÉ DE 2o GRAU)",NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VERSÃO CEFÁLICA EXTERNA,NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,NULL,"PARTOS E OUTROS PROCEDIMENTOSOBSTÉTRICOS",SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ESTEREOTÁXICA DE ENCÉFALO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA INTRACRANIANA POR VIA ENDOSCÓPICA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CRANIOTOMIA PARA REMOÇÃO DE CORPO ESTRANHO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DERIVAÇÃO VENTRICULAR EXTERNA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"DRENAGEM ESTEREOTÁXICA - CISTOS, HEMATOMAS OU ABSCESSOS",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIPOFISECTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE CATETER INTRACRANIANO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"IMPLANTE DE ELETRODOS E/OU GERADOR PARA ESTIMULAÇÃO CEREBRAL PROFUNDA (COM DIRETRIZ DEUTILIZAÇÃO)",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,38,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE ESTEREOTÁXICO DE CATETER PARA BRAQUITERAPIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE INTRACEREBROVENTRICULAR DE BOMBA DE INFUSÃO DE FARMACOS,538/2022,22/10/2022,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"IMPLANTE INTRA-TECAL DE BOMBAS PARA INFUSÃO DE FÁRMACOS (INCLUI MEDICAMENTO) - COM DIRETRIZDE UTILIZAÇÃO",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,45,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LOCALIZAÇÃO ESTEREOTÁXICA DE CORPO ESTRANHO INTRACRANIANO COM REMOÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LOCALIZAÇÃO ESTEREOTÁXICA DE LESÕES INTRACRANIANAS COM REMOÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICROCIRURGIA PARA TUMORES INTRACRANIANOS,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICROCIRURGIA VASCULAR INTRACRANIANA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO SUBDURAL OU VENTRICULAR TRANSFONTANELA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE MUCOCELE FRONTAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"SISTEMA DE DERIVAÇÃO VENTRICULAR INTERNA COM VÁLVULAS (INSTALAÇÃO, RETIRADA OU REVISÕES)",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TERCEIRO VENTRICULOSTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA EPILEPSIA (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,72,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA FÍSTULA LIQUÓRICA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA MENINGOENCEFALOCELE,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE TUMORES CEREBRAIS COM OU SEM MICROSCOPIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE TUMORES DA REGIÃO SELAR POR ACESSO ENDOSCÓPICO OU CONVENCIONAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DO ABSCESSO ENCEFÁLICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO CIRÚRGICO DO HEMATOMA EXTRADURAL, SUBDURAL OU INTRACEREBRAL",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DO HEMATOMA SUBDURAL CRÔNICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO PRÉ-NATAL DAS HIDROCEFALIAS E CISTOS CEREBRAIS,NULL,NULL,NULL,NULL,HCO,NULL,REF,NULL,NULL,ENCÉFALO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORDOTOMIA-MIELOTOMIAS POR RADIOFREQUÊNCIA (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,17,MEDULA,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE ELETRODOS E/OU GERADOR PARA ESTIMULAÇÃO MEDULAR (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,37,MEDULA,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"MICROCIRURGIA A CÉU ABERTO POR RADIOFREQUÊNCIA DA ZONA DE ENTRADA DA RAIZ DORSAL(DREZOTOMIA - DREZ) - COM DIRETRIZ DE UTILIZAÇÃO",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,55,MEDULA,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO LIQUÓRICA RAQUIANA OU CISTERNAL,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,MEDULA,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TAMPÃO SANGÜÍNEO PERIDURAL PARA TRATAMENTO DE CEFALÉIA PÓS PUNÇÃO (NÃO INDICADO NAPROFILAXIA DA CEFALÉIA)",NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,MEDULA,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANASTOMOSE ESPINO-FACIAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANASTOMOSE HIPOGLOSSO-FACIAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE NERVO,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO DE NERVO PERIFÉRICO,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO FENÓLICO E/OU ALCOÓLICO,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"BLOQUEIO COM TOXINA BOTULÍNICA TIPO A PARA TRATAMENTO DE DISTONIAS FOCAIS, ESPASMOHEMIFACIAL E ESPASTICIDADE (COM DIRETRIZ DE UTILIZAÇÃO)",NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,8,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DENERVAÇÃO PERCUTÂNEA DE FACETA ARTICULAR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO DE NERVO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO DE NERVO INTERFASCICULAR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO PARA REPARO DE NERVO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXCISÃO DE TUMORES DOS NERVOS PERIFÉRICOS (COM OU SEM ENXERTO INTERFASCICULAR),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXPLORAÇÃO CIRÚRGICA DE NERVO (NEURÓLISE EXTERNA),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXTIRPAÇÃO DE NEUROMA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE GERADOR PARA NEUROESTIMULAÇÃO (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,39,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÃO DE NERVOS ASSOCIADA À LESÃO ÓSSEA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"LESÃO ESTEREOTÁXICA DE ESTRUTURAS PROFUNDAS PARA TRATAMENTO DA DOR OU MOVIMENTOANORMAL",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICROCIRURGIA DE NERVOS PERIFÉRICOS,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"MICROCIRURGIA DO PLEXO BRAQUIAL COM A EXPLORAÇÃO, NEURÓLISE E ENXERTOS INTERFASCICULARESPARA REPARO DAS LESÕES",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICRONEURÓLISE,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICRONEURÓLISE INTRANEURAL OU INTRAFASCICULAR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICRONEURORRAFIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEURÓLISE DAS SÍNDROMES COMPRESSIVAS,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEUROTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEUROTRIPSIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REPOSIÇÃO DE FÁRMACO(S) EM BOMBAS IMPLANTADAS,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE NEUROMA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVISÃO DE SISTEMA IMPLANTADOS PARA INFUSÃO DE FÁRMACOS,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RIZOTOMIA PERCUTÂNEA COM RADIOFREQUÊNCIA (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,62,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SIMPATECTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SIMPATECTOMIA POR VIDEOTORACOSCOPIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPOSIÇÃO DE NERVO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DAS NEUROPATIAS COMPRESSIVAS,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOMPRESSÃO VASCULAR DE NERVOS CRANIANOS,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS CRANIANOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEUROTOMIA SELETIVA DO TRIGÊMIO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NERVOS CRANIANOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO DO SISTEMA NERVOSO AUTÔNOMO,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,SISTEMA NERVOSO AUTÔNOMO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÃO DO SISTEMA NERVOSO AUTÔNOMO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SISTEMA NERVOSO AUTÔNOMO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DA SÍNDROME DO DESFILADEIRO CÉRVICO TORÁCICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SISTEMA NERVOSO AUTÔNOMO,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA PARA TRANSPLANTE,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,CÓRNEA,TRANSPLANTES DE ÓRGÃOS OU TECIDOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE DE CÓRNEA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,CÓRNEA,TRANSPLANTES DE ÓRGÃOS OU TECIDOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE HEPÁTICO (RECEPTOR E DOADOR VIVO OU DOADOR FALECIDO),546/2022,03/10/2022,NULL,NULL,HCO,HSO,REF,NULL,NULL,FÍGADO E VIAS BILIARES,TRANSPLANTES DE ÓRGÃOS OU TECIDOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA EM DOADOR VIVO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RIM,TRANSPLANTES DE ÓRGÃOS OU TECIDOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA LAPAROSCÓPICA EM DOADOR VIVO - PARA TRANSPLANTE,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RIM,TRANSPLANTES DE ÓRGÃOS OU TECIDOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA PARA TRANSPLANTE,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RIM,TRANSPLANTES DE ÓRGÃOS OU TECIDOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE RENAL (RECEPTOR E DOADOR VIVO OU DOADOR FALECIDO),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RIM,TRANSPLANTES DE ÓRGÃOS OU TECIDOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
